bs_rep	Class	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19
216	SW	363023	107988	62127	45076	35154	28523	23468	19337	16377	14437	12076	10046	8450	7220	6316	5430	4955	4339	4161
216	WS	257212	80313	46539	34081	26990	21926	17989	15069	12912	11380	9665	8087	6898	5990	5131	4538	3905	3622	3621
217	Neutre	284562	85715	49385	36433	28750	23045	19029	16101	13461	11570	10019	8358	7342	5879	5193	4461	4093	3647	3654
217	SW	363605	107765	61846	44834	34563	28382	23296	19545	16655	14572	12041	9796	8666	7117	6290	5392	4809	4288	4248
217	WS	257882	80341	46534	34138	27237	21611	18000	14963	12977	11157	9585	7993	6990	5957	5125	4579	3828	3629	3629
218	Neutre	284687	85425	49532	36126	28589	23394	19088	16038	13467	11671	10178	8267	7257	5831	5220	4716	4214	3669	3682
218	SW	362703	107322	61930	44597	34881	29043	23424	19425	16291	14499	12125	9853	8642	7219	6351	5473	4938	4356	4209
218	WS	257425	80192	46881	33898	27311	21751	18111	14820	12982	11342	9679	7994	6959	5853	5074	4529	3899	3680	3595
219	Neutre	283790	85655	49462	36364	28379	23346	19308	15884	13519	11416	10095	8215	7266	5857	5286	4550	4101	3667	3674
219	SW	363276	107652	61678	44452	35066	28526	23283	19477	16538	14528	12313	9999	8599	7153	6371	5403	4826	4327	4292
219	WS	257524	80607	46647	34055	27207	22194	18068	14993	13086	11462	9411	8011	6936	6015	5046	4558	3818	3693	3637
220	Neutre	284056	85784	49365	36156	28598	23136	19197	16008	13480	11504	10061	8450	7265	6062	5255	4520	4081	3625	3725
220	SW	363002	107656	62308	44408	35163	28562	23544	19380	16548	14694	11795	9996	8565	7156	6324	5385	4884	4463	4206
220	WS	257584	80302	46634	33978	27117	21975	18097	15122	12875	11407	9565	7876	6866	5927	5145	4664	3843	3603	3567
221	Neutre	284906	85356	49648	36057	28809	23389	19096	16005	13509	11627	10039	8158	7175	6112	5332	4524	4083	3668	3597
221	SW	363034	107989	62159	44397	34871	28570	23571	19384	16261	14379	11987	9951	8682	7195	6154	5324	5007	4362	4236
221	WS	256926	80022	46721	34460	27022	21936	18033	15112	13042	11092	9430	8081	6994	5904	5085	4522	3979	3616	3746
222	Neutre	283553	85703	49487	36010	28494	23366	19154	16176	13405	11387	10175	8361	7313	5958	5308	4455	4174	3661	3550
222	SW	363970	107116	61470	44694	34902	28837	23442	19502	16770	14463	12047	9791	8538	7136	6312	5353	4828	4404	4194
222	WS	257717	79726	47215	34389	27357	21933	18058	15125	12868	11315	9553	7908	6887	5890	5097	4507	3902	3616	3790
223	Neutre	284680	85933	49126	35794	28498	23246	19120	16199	13301	11453	10179	8305	7279	5946	5154	4520	4158	3873	3524
223	SW	363386	108253	61834	44627	34670	28441	23706	19490	16461	14452	12151	9905	8664	7306	6216	5314	5023	4393	4284
223	WS	257977	79664	46348	34257	27336	22009	17929	15004	12877	11360	9621	7883	6864	5963	5102	4424	3909	3604	3524
224	Neutre	285473	85787	49569	36565	28631	23079	19189	15975	13538	11454	10206	8188	7194	5999	5263	4446	4033	3630	3573
224	SW	363098	107678	61497	44712	35034	28586	23408	19438	16526	14491	11923	9951	8633	7109	6394	5290	4921	4279	4209
224	WS	257091	79735	46722	34178	27434	21906	17982	15159	12884	11310	9444	7910	6912	5869	5087	4545	3986	3631	3707
225	Neutre	284660	85419	49510	36091	28734	23473	19245	16050	13344	11402	10055	8247	7225	5834	5143	4591	4195	3619	3540
225	SW	362326	108272	62041	44623	34875	28790	23298	19589	16555	14505	11951	9834	8634	7220	6369	5586	4773	4327	4307
225	WS	257863	80088	46190	34027	27134	21902	18115	15068	13059	11318	9519	7949	6869	5981	5083	4666	3814	3710	3772
226	Neutre	284290	85580	49489	36254	28798	23382	19097	16164	13252	11640	10056	8414	7259	6043	5300	4564	4071	3748	3493
226	SW	363438	107273	62104	45130	34926	28754	23475	19282	16414	14326	11836	9830	8549	7165	6194	5543	4873	4432	4174
226	WS	258140	79893	46650	33909	27260	21920	17930	14910	13034	11131	9491	7979	6919	5864	5078	4698	3872	3635	3704
227	Neutre	285265	85736	49443	36160	28365	23405	19224	15858	13595	11501	10204	8268	7358	6069	5050	4480	4000	3621	3632
227	SW	363298	107580	61931	44679	35108	28736	23252	19400	16382	14492	12036	9798	8770	7114	6309	5445	4961	4304	4173
227	WS	257736	80014	46628	33783	27265	21858	17937	15002	12936	11327	9541	7719	7000	5838	5033	4579	3941	3679	3764
228	Neutre	284352	85679	49481	36194	28854	23407	19287	16156	13364	11530	10050	8269	7199	5868	5175	4618	4097	3663	3589
228	SW	363633	108020	61738	44434	34782	28346	23366	19398	16438	14330	12029	10049	8494	7148	6241	5377	4775	4381	4088
228	WS	256652	80395	46598	34355	27395	21969	18370	15158	13071	11455	9514	8009	6969	5861	5079	4599	3854	3717	3583
229	Neutre	284666	85364	49467	36319	28657	23314	19190	15950	13421	11520	10078	8302	7155	6002	5208	4486	4094	3626	3621
229	SW	363260	107278	61403	44631	34894	28486	23355	19515	16453	14506	12133	9950	8538	7126	6406	5469	4991	4405	4214
229	WS	257657	80475	46743	33972	27444	21924	17859	15251	12866	11367	9599	7894	6862	5825	5089	4686	3972	3745	3659
230	Neutre	283990	86228	49693	36218	28668	23376	19066	16191	13481	11665	10090	8257	7209	6039	5211	4524	4099	3646	3576
230	SW	363018	107894	61910	44483	35066	28704	23088	19359	16446	14558	12024	10086	8742	7307	6139	5525	4847	4277	4245
230	WS	257176	80116	46391	34140	26959	21595	17880	15384	13031	11131	9671	7945	6857	6005	5194	4596	3917	3723	3665
231	Neutre	284496	85103	49343	35989	28708	23094	19091	16176	13478	11570	10180	8214	7249	6127	5154	4590	4085	3804	3571
231	SW	363862	107371	62092	45059	34806	28766	23391	19484	16475	14421	12004	9958	8675	7144	6195	5456	4903	4304	4215
231	WS	257144	80022	46439	34094	27642	22211	17769	15090	12991	11352	9542	7850	6777	5811	5199	4758	3853	3649	3669
232	Neutre	284330	85804	49455	36015	28912	23631	19264	16084	13391	11411	9727	8075	7360	5803	5199	4465	4093	3768	3762
232	SW	363133	107683	61869	44959	35102	28576	23233	19617	16519	14452	12144	10090	8562	7127	6275	5414	4917	4532	4276
232	WS	257000	79950	46877	34010	27244	21931	17996	14977	12969	11198	9660	7931	6854	5804	4948	4512	3907	3793	3780
233	Neutre	284532	85580	49764	36106	28542	23471	19342	15930	13572	11374	10022	8398	7314	6175	5234	4574	4100	3739	3649
233	SW	363431	107345	62137	44460	34791	28657	23232	19308	16519	14334	12016	9676	8690	7201	6164	5492	4836	4457	4128
233	WS	258075	79867	46624	33765	27239	21967	17949	15169	12998	11150	9655	7960	6977	5641	5127	4552	4031	3600	3788
234	Neutre	283235	85687	49647	36311	28570	23072	19341	16070	13557	11670	10041	8257	7378	6001	5158	4610	4052	3695	3558
234	SW	363111	107224	61946	44519	35031	28748	23182	19297	16434	14474	11958	10056	8530	7217	6328	5540	4887	4334	4213
