region	localGC	invar_L	invar_GC	segregating_sites_unanchor	pi_sum_unanchor	pi_unanchor	unanchor_L	unanchor_GC	segregating_sites_anchor	pi_sum_anchor	pi_anchor	anchor_L	anchor_GC	total_pi	cds_anchor	cds_anchor_num_winds	cds_total	cds_total_num_winds	class	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19
C_33	0.299556	148924	44617	5110	1602.51	0.00627882	255225	76465	53424	15053.3	0.00780002	1929906	578099	0.007136	118530	3904	149124	5821	WS	2653	826	468	354	279	218	188	169	158	108	80	87	82	63	65	34	44	24	43
C_34	0.300523	149033	44771	5107	1564.64	0.0058523	267354	80322	53145	14821.9	0.00771137	1922083	577672	0.00700738	94242	3654	141600	6240	Neutre	2973	900	569	370	307	236	197	139	143	100	101	96	76	49	32	36	30	43	38
C_34	0.300523	149033	44771	5107	1564.64	0.0058523	267354	80322	53145	14821.9	0.00771137	1922083	577672	0.00700738	94242	3654	141600	6240	SW	3510	1044	580	442	323	263	218	181	169	141	110	114	67	59	45	66	38	38	40
C_34	0.300523	149033	44771	5107	1564.64	0.0058523	267354	80322	53145	14821.9	0.00771137	1922083	577672	0.00700738	94242	3654	141600	6240	WS	2630	811	448	364	281	212	190	153	157	120	90	81	64	55	44	62	38	26	35
C_35	0.301539	129264	38980	4762	1470.91	0.0059923	245466	74019	53692	15100.2	0.00750871	2011024	606399	0.00694586	124863	3968	144220	5127	Neutre	2901	860	475	387	285	246	198	192	126	124	106	88	79	54	52	52	44	30	35
C_35	0.301539	129264	38980	4762	1470.91	0.0059923	245466	74019	53692	15100.2	0.00750871	2011024	606399	0.00694586	124863	3968	144220	5127	SW	3537	1074	593	427	333	292	224	221	152	150	116	90	94	67	76	50	54	40	52
C_35	0.301539	129264	38980	4762	1470.91	0.0059923	245466	74019	53692	15100.2	0.00750871	2011024	606399	0.00694586	124863	3968	144220	5127	WS	2583	798	440	334	282	218	180	171	137	115	75	77	81	40	67	43	38	37	47
C_36	0.302556	125049	37839	4534	1417.16	0.0059852	236778	71638	53042	14932	0.00782304	1908715	577490	0.00720055	107392	3722	131266	5012	Neutre	2872	883	532	402	324	257	187	175	154	109	97	76	75	60	53	39	42	34	33
C_36	0.302556	125049	37839	4534	1417.16	0.0059852	236778	71638	53042	14932	0.00782304	1908715	577490	0.00720055	107392	3722	131266	5012	SW	3425	1067	572	437	364	267	204	210	179	132	97	93	79	66	65	52	53	42	43
C_36	0.302556	125049	37839	4534	1417.16	0.0059852	236778	71638	53042	14932	0.00782304	1908715	577490	0.00720055	107392	3722	131266	5012	WS	2572	863	513	349	279	216	170	179	123	121	96	90	62	50	52	54	19	34	39
C_37	0.303553	118480	35963	4882	1468.3	0.00561932	261295	79313	53434	14862.6	0.00754742	1969225	597771	0.00695228	96408	3811	128928	5141	Neutre	2897	871	493	348	284	217	178	144	125	102	97	76	83	73	62	41	50	46	51
C_37	0.303553	118480	35963	4882	1468.3	0.00561932	261295	79313	53434	14862.6	0.00754742	1969225	597771	0.00695228	96408	3811	128928	5141	SW	3551	1002	575	409	336	275	223	199	170	160	124	84	99	83	77	52	60	52	63
