region	localGC	invar_L	invar_GC	segregating_sites_unanchor	pi_sum_unanchor	pi_unanchor	unanchor_L	unanchor_GC	segregating_sites_anchor	pi_sum_anchor	pi_anchor	anchor_L	anchor_GC	total_pi	cds_anchor	cds_anchor_num_winds	cds_total	cds_total_num_winds	class	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19
C_58	0.3241	110615	35851	3884	1180.98	0.00542154	217831	70600	51255	14304.2	0.00747302	1914115	620362	0.00690513	88653	3699	101572	4695	SW	3612	1089	643	456	380	302	241	222	151	155	111	91	105	69	69	54	43	38	48
C_58	0.3241	110615	35851	3884	1180.98	0.00542154	217831	70600	51255	14304.2	0.00747302	1914115	620362	0.00690513	88653	3699	101572	4695	WS	2484	819	424	309	273	229	199	169	152	131	101	77	71	62	48	38	46	32	47
C_59	0.325094	112671	36632	4211	1304.4	0.00588288	221728	72085	51352	14372.3	0.00745384	1928169	626830	0.00692872	76881	3706	97358	4821	Neutre	2716	850	455	344	285	244	183	135	128	151	110	85	81	51	53	42	34	54	22
C_59	0.325094	112671	36632	4211	1304.4	0.00588288	221728	72085	51352	14372.3	0.00745384	1928169	626830	0.00692872	76881	3706	97358	4821	SW	3709	1131	613	431	342	327	240	238	159	156	136	97	96	74	62	51	59	45	36
C_59	0.325094	112671	36632	4211	1304.4	0.00588288	221728	72085	51352	14372.3	0.00745384	1928169	626830	0.00692872	76881	3706	97358	4821	WS	2540	781	414	348	278	238	183	155	132	121	77	67	58	67	59	39	34	41	39
C_60	0.326108	139604	45526	4859	1454.14	0.00582165	249781	81448	52772	14808.9	0.00743741	1991133	649331	0.00683172	84218	3844	112387	5266	Neutre	2792	854	460	363	284	234	195	154	142	116	111	80	72	53	46	37	46	35	35
C_60	0.326108	139604	45526	4859	1454.14	0.00582165	249781	81448	52772	14808.9	0.00743741	1991133	649331	0.00683172	84218	3844	112387	5266	SW	3667	1148	622	460	349	270	253	208	178	168	113	98	97	81	77	47	62	40	48
C_60	0.326108	139604	45526	4859	1454.14	0.00582165	249781	81448	52772	14808.9	0.00743741	1991133	649331	0.00683172	84218	3844	112387	5266	WS	2502	837	429	316	276	221	199	138	130	92	83	73	81	64	62	59	36	28	30
C_61	0.327165	130152	42580	4562	1404.42	0.0060035	233933	76532	52250	14501.6	0.00741368	1956064	639960	0.0068556	90861	3802	117798	4979	Neutre	2911	821	517	343	294	212	187	176	124	110	95	71	77	57	51	37	42	48	31
C_61	0.327165	130152	42580	4562	1404.42	0.0060035	233933	76532	52250	14501.6	0.00741368	1956064	639960	0.0068556	90861	3802	117798	4979	SW	3684	1118	601	454	376	283	226	183	144	147	130	78	106	67	68	52	50	42	34
C_61	0.327165	130152	42580	4562	1404.42	0.0060035	233933	76532	52250	14501.6	0.00741368	1956064	639960	0.0068556	90861	3802	117798	4979	WS	2566	798	476	316	282	199	174	163	93	95	94	75	82	57	51	46	42	43	34
C_62	0.328229	126981	41682	3921	1197.04	0.00537644	222646	73083	52021	14503.7	0.00730996	1984106	651233	0.00672774	85616	3837	100571	4919	Neutre	2752	836	492	346	295	224	194	168	123	125	101	90	48	46	39	44	38	39	43
C_62	0.328229	126981	41682	3921	1197.04	0.00537644	222646	73083	52021	14503.7	0.00730996	1984106	651233	0.00672774	85616	3837	100571	4919	SW	3774	1116	638	431	347	290	241	208	153	150	116	99	91	69	54	44	38	44	45
C_62	0.328229	126981	41682	3921	1197.04	0.00537644	222646	73083	52021	14503.7	0.00730996	1984106	651233	0.00672774	85616	3837	100571	4919	WS	2576	837	490	357	275	202	208	150	99	111	85	64	60	51	45	35	38	41	28
C_63	0.329297	139117	45804	4427	1350.07	0.00541726	249217	82069	51903	14363.6	0.00738754	1944307	640259	0.00673643	95959	3810	114831	5088	Neutre	2815	856	487	401	288	241	185	146	139	118	88	84	92	65	44	46	24	31	37
C_63	0.329297	139117	45804	4427	1350.07	0.00541726	249217	82069	51903	14363.6	0.00738754	1944307	640259	0.00673643	95959	3810	114831	5088	SW	3723	1023	628	434	379	263	252	176	157	173	133	97	98	89	49	58	59	35	52
